ID,State,Sex,Age_Group,COVID_Deaths,Pneumonia_Deaths,Pneumonia_COVID_Deaths,Influenza_Deaths,Pneumonia_Influenza_COVID_Deaths
1,District of Columbia,Female,65-74,49,69,29,,90
1,District of Columbia,Female,75-84,46,61,22,,86
1,District of Columbia,Male,0-17,0,0,0,0,0
1,District of Columbia,Male,18-29,0,,0,0,
1,District of Columbia,Male,30-39,,,0,0,
1,District of Columbia,Male,40-49,,14,,0,16
1,District of Columbia,Male,50-64,,21,,,25
1,District of Columbia,Male,65-74,,39,,,42
1,District of Columbia,Male,75-84,15,36,,0,44
1,District of Columbia,Female,0-17,0,,0,0,
1,District of Columbia,Female,18-29,0,,0,0,
1,District of Columbia,Female,30-39,,,,0,
1,District of Columbia,Female,40-49,0,,0,0,
1,District of Columbia,Female,50-64,,19,0,0,21
1,District of Columbia,Female,65-74,,21,,0,21
1,District of Columbia,Female,75-84,,25,,,31
1,Florida,Male,0-17,,24,,,31
1,Florida,Male,18-29,51,78,24,,110
1,Florida,Male,30-39,124,165,62,,235
1,Florida,Male,40-49,402,401,232,20,591
1,Florida,Male,50-64,1985,2258,1160,60,3141
1,Florida,Male,65-74,2964,3531,1823,55,4722
1,Florida,Male,75-84,3780,4382,2282,60,5936
1,Florida,Female,0-17,,19,,,29
1,Florida,Female,18-29,24,49,12,,62
1,Florida,Female,30-39,89,120,47,14,176
1,Florida,Female,40-49,206,278,123,17,378
1,Florida,Female,50-64,1041,1421,588,43,1914
1,Florida,Female,65-74,1774,2172,1027,52,2969
1,Florida,Female,75-84,2730,3090,1544,51,4324
1,Florida,Male,0-17,25,34,12,0,47
1,Florida,Male,18-29,242,201,149,0,294
1,Florida,Male,30-39,619,534,419,0,734
1,Florida,Male,40-49,1474,1206,1037,,1645
1,Florida,Male,50-64,5361,4812,3737,10,6441
1,Florida,Male,65-74,5230,5341,3748,14,6832
1,Florida,Male,75-84,5329,5837,3736,,7436
1,Florida,Female,0-17,33,36,12,,57
1,Florida,Female,18-29,141,119,83,0,177
1,Florida,Female,30-39,430,366,284,0,512
1,Florida,Female,40-49,920,778,633,0,1065
1,Florida,Female,50-64,3490,3270,2533,,4231
1,Florida,Female,65-74,3785,3758,2640,,4908
1,Florida,Female,75-84,4048,4357,2784,10,5630
1,Florida,Male,0-17,15,25,,,42
1,Florida,Male,18-29,47,62,25,,88
1,Florida,Male,30-39,95,139,46,,193
1,Florida,Male,40-49,191,273,104,,365
1,Florida,Male,50-64,1228,1731,694,25,2290
1,Florida,Male,65-74,1978,2786,1155,49,3654
1,Florida,Male,75-84,2957,3814,1678,64,5151
1,Florida,Female,0-17,22,33,,,51
1,Florida,Female,18-29,20,45,10,,57
1,Florida,Female,30-39,81,115,45,,154
1,Florida,Female,40-49,161,228,75,,319
1,Florida,Female,50-64,804,1176,432,29,1575
1,Florida,Female,65-74,1370,1931,774,36,2558
1,Florida,Female,75-84,2076,2652,1085,52,3691
1,Florida,Male,0-17,,19,0,,28
1,Florida,Male,18-29,,32,0,,36
1,Florida,Male,30-39,15,85,,,99
1,Florida,Male,40-49,33,127,15,,150
1,Florida,Male,50-64,164,768,78,15,869
1,Florida,Male,65-74,429,1396,223,33,1633
1,Florida,Male,75-84,815,1992,415,60,2446
1,Florida,Female,0-17,,16,,,18
1,Florida,Female,18-29,,21,,,26
1,Florida,Female,30-39,11,53,,,60
1,Florida,Female,40-49,22,117,13,,129
1,Florida,Female,50-64,122,587,54,16,670
1,Florida,Female,65-74,301,995,156,31,1169
1,Florida,Female,75-84,589,1510,278,43,1858
1,Georgia,Male,0-17,,,0,,18
1,Georgia,Male,18-29,23,32,,,54
1,Georgia,Male,30-39,80,63,27,,120
1,Georgia,Male,40-49,232,198,110,,328
1,Georgia,Male,50-64,1098,1023,539,21,1603
1,Georgia,Male,65-74,1534,1439,814,25,2183
1,Georgia,Male,75-84,1615,1557,874,18,2315
1,Georgia,Female,0-17,,,0,,13
1,Georgia,Female,18-29,28,23,11,,41
1,Georgia,Female,30-39,61,66,26,,105
1,Georgia,Female,40-49,165,158,72,,260
1,Georgia,Female,50-64,722,734,369,29,1116
1,Georgia,Female,65-74,1085,987,528,25,1569
1,Georgia,Female,75-84,1336,1185,663,21,1879
1,Georgia,Male,0-17,17,20,,,31
1,Georgia,Male,18-29,106,72,47,,132
1,Georgia,Male,30-39,279,183,144,,318
1,Georgia,Male,40-49,663,457,371,0,749
1,Georgia,Male,50-64,2579,1945,1499,,3026
1,Georgia,Male,65-74,2425,2023,1447,,3009
1,Georgia,Male,75-84,2195,1880,1276,,2803
1,Georgia,Female,0-17,10,11,,,19
1,Georgia,Female,18-29,82,59,39,0,102
1,Georgia,Female,30-39,260,161,131,0,290
1,Georgia,Female,40-49,483,330,270,0,543
1,Georgia,Female,50-64,1886,1459,1104,,2246
1,Georgia,Female,65-74,1891,1557,1130,,2323
1,Georgia,Female,75-84,1887,1613,1092,,2412
1,Georgia,Male,0-17,15,12,,,28
1,Georgia,Male,18-29,29,31,,,54
1,Georgia,Male,30-39,74,72,29,,121
1,Georgia,Male,40-49,142,137,55,,225
1,Georgia,Male,50-64,709,773,314,19,1185
1,Georgia,Male,65-74,1101,1081,522,24,1680
1,Georgia,Male,75-84,1142,1212,542,27,1837
1,Georgia,Female,0-17,12,18,,,28
1,Georgia,Female,18-29,23,23,,,45
1,Georgia,Female,30-39,47,54,21,,83
1,Georgia,Female,40-49,102,108,42,0,168
1,Georgia,Female,50-64,588,564,255,20,913
1,Georgia,Female,65-74,718,783,358,23,1164
1,Georgia,Female,75-84,926,937,394,29,1493
1,Georgia,Male,0-17,,,,,12
1,Georgia,Male,18-29,,15,,0,18
1,Georgia,Male,30-39,,35,,0,42
1,Georgia,Male,40-49,16,56,,,68
1,Georgia,Male,50-64,102,300,35,10,377
1,Georgia,Male,65-74,172,472,67,,586
1,Georgia,Male,75-84,257,530,106,,687
1,Georgia,Female,0-17,0,,0,0,
1,Georgia,Female,18-29,,10,,0,13
1,Georgia,Female,30-39,,25,,,33
1,Georgia,Female,40-49,15,48,,,62
1,Georgia,Female,50-64,89,238,27,10,309
1,Georgia,Female,65-74,141,358,67,12,444
1,Georgia,Female,75-84,222,457,80,12,609
1,New Jersey,Male,0-17,,,0,0,
1,New Jersey,Male,18-29,45,32,15,0,62
1,New Jersey,Male,30-39,160,101,77,,188
1,New Jersey,Male,40-49,419,273,200,,501
1,New Jersey,Male,50-64,2001,1387,1013,16,2390
1,New Jersey,Male,65-74,2305,1695,1192,17,2823
1,New Jersey,Male,75-84,2591,2009,1359,21,3259
1,New Jersey,Female,0-17,,,,,
1,New Jersey,Female,18-29,24,19,10,0,33
1,New Jersey,Female,30-39,57,42,22,,80
1,New Jersey,Female,40-49,134,105,65,,175
1,New Jersey,Female,50-64,910,666,455,,1128
1,New Jersey,Female,65-74,1302,966,647,,1626
1,New Jersey,Female,75-84,2183,1655,1098,12,2751
1,New Jersey,Male,0-17,,,,0,11
1,New Jersey,Male,18-29,44,30,18,0,56
1,New Jersey,Male,30-39,99,77,48,0,128
1,New Jersey,Male,40-49,245,190,132,0,303
1,New Jersey,Male,50-64,1200,952,646,0,1506
1,New Jersey,Male,65-74,1290,1088,704,,1675
1,New Jersey,Male,75-84,1342,1257,723,0,1876
1,New Jersey,Female,0-17,,,0,0,
1,New Jersey,Female,18-29,24,21,12,,34
1,New Jersey,Female,30-39,58,46,28,,77
1,New Jersey,Female,40-49,124,104,67,0,161
1,New Jersey,Female,50-64,728,589,415,,902
1,New Jersey,Female,65-74,930,808,534,0,1204
1,New Jersey,Female,75-84,1077,1005,588,,1495
1,New Jersey,Male,0-17,,,,,16
1,New Jersey,Male,18-29,16,19,,,29
1,New Jersey,Male,30-39,37,39,10,,68
1,New Jersey,Male,40-49,95,72,35,,134
1,New Jersey,Male,50-64,550,511,248,,821
